"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AN1,AN2,AN3,AN4,Bomba1,ON/OFF1,PWM1","7","Conn_01x03_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"CH1,CH2,CH3,CH4,CH5,IN1,IN2,IN3,IN4,PWR-IN1,PWR-OP1","11","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"CP1,CP3","2","220uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"CP2,CP4","2","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1","1","D-SR5100","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"F1,F4","2","3A","","","","Fuse:Fuse_0603_1608Metric","~"
"F3","1","5A","","","","Fuse:Fuse_1206_3216Metric","~"
"J1","1","Conn_02x02_Counter_Clockwise","","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"J2","1","Raspberry_Pi_4","","","","raspberry4-foodprint:Raspberry4-holes","https://datasheets.raspberrypi.com/rpi4/raspberry-pi-4-datasheet.pdf"
"J3","1","Conn_01x12","","","","Connector_Samtec_HPM_THT:Samtec_HPM-12-05-x-S_Straight_1x12_Pitch5.08mm","~"
"J4,UART1","2","Conn_01x05","","","","Connector_PinHeader_2.00mm:PinHeader_1x05_P2.00mm_Vertical","~"
"OPT1,OPT2,OPT3,OPT4","4","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"P1,P2,P3,P4","4","Conn_01x03_Socket","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~"
"PP1","1","Conn_01x02_Socket","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"RA1,RA2","2","470R","","","","Resistor_SMD:R_Array_Convex_4x1206","~"
"RA3,RA4,RN2-1","3","330","","","","Resistor_SMD:R_Array_Convex_4x1206","~"
"RELAY1,RELAY2,RELAY3,RELAY4","4","SRD-05DC-SL-C","","","","Relay_THT:Relay_SPDT_Finder_36.11",""
"RN1-1","1","1k","","","","Resistor_SMD:R_Array_Convex_4x1206","~"
"RP1,RP2","2","330","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"RPwr1","1","500","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U1","1","ADS1115 MOD","","","","Connector_PinHeader_2.54mm:ADS1115","kicad-embed://MODULE_ZC261500.kicad_mod"
"U2","1","ULN2003AID","","","","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm","kicad-embed://ULN2003AD.lib"
"U3","1","~","","","","Connector_PinHeader_2.54mm:LVL Shifter",""
